id,Title,Content,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Attachment Filename","Attachment Path","Attachment ID","Attachment Title","Attachment Caption","Attachment Description","Attachment Alt Text",Date,"Post Type",Permalink,artists
1854,"Cult Hit TV Show ‘Utopia’ Composer Talks Conspiracies & Making Music by John Connon, United Kingdom","As the second season of Channel 4’s riveting conspiracy thriller Utopia unfolds in front of us, John Connon of Wake The Town briefly sat down with the show’s composer Cristobal Tapia de Veer, to learn about his experience of working on such a unique project. <a href=""https://lbbonline.com/news/cult-hit-tv-show-utopia-composer-talks-conspiracies-making-music/"">Read the article here</a>",https://freerunartists.com/wp-content/uploads/2015/12/f03cfc3e4a4477aa-ScreenShot2014-08-04at15737PM.png,f03cfc3e4a4477aa-ScreenShot2014-08-04at15737PM.png,/home/freeruna/public_html/wp-content/uploads/2015/12/f03cfc3e4a4477aa-ScreenShot2014-08-04at15737PM.png,595,f03cfc3e4a4477aa-ScreenShot2014-08-04at15737PM,,,,https://freerunartists.com/wp-content/uploads/2015/12/f03cfc3e4a4477aa-ScreenShot2014-08-04at15737PM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/cult-hit-tv-show-utopia-composer-talks-conspiracies-making-music-by-john-connon-united-kingdom/,Cristo
1855,"Jamaica Inn episode 2 review by Becky Lea, United Kingdom","“…The quiet tension that had been built up in the first episode is maintained throughout, thanks in large part to the wonderful score. In keeping with the country setting, it has a folk music feel to it with, capable of lighter moments alongside the more explicitly Gothic ones. There’s a few horror references in there with low strings blending in with the wind outside the inn. A piano section in the first episode called to mind John Carpenter’s Halloween theme, albeit briefly, and it has worked well with the visuals to continue the unsettling effect of Jamaica Inn. It works well alongside Philippa Lowthorpe’s direction, maintaining the grim atmosphere…” <a href=""https://www.denofgeek.com/tv/jamaica-inn/30209/jamaica-inn-episode-2-review"" target=""_blank"" rel=""noopener"">Read the article here</a>",https://freerunartists.com/wp-content/uploads/2015/12/1e7eb445c7ecea75-ScreenShot2014-08-10at102147AM.png,1e7eb445c7ecea75-ScreenShot2014-08-10at102147AM.png,/home/freeruna/public_html/wp-content/uploads/2015/12/1e7eb445c7ecea75-ScreenShot2014-08-10at102147AM.png,596,1e7eb445c7ecea75-ScreenShot2014-08-10at102147AM,,,,https://freerunartists.com/wp-content/uploads/2015/12/1e7eb445c7ecea75-ScreenShot2014-08-10at102147AM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/jamaica-inn-episode-2-review-by-becky-lea-united-kingdom/,Cristo
1856,"Utopia, critique d’album par Noémie, France","“…Cristobal Tapia de Veer a réussi un double exploit : celui d’avoir une bande-son allant parfaitement avec sa série mais aussi, et surtout, d’avoir créé une musique qui possède sa propre identité. La musique d’Utopia (…) vit sans les images qu’elle sublime par ailleurs. L’écriture complexe, allant bien au-delà de la sempiternelle répétition d’un thème via de multiples variations, apparente presque ce disque à un album de musiques expérimentales ou de musiques électroniques.Atypique et dérangeante, insolente et fraiche, la BO d’Utopia est un disque qui redonne ses lettres de noblesse au monde de la musique de film et de série. …” <a href=""https://www.dmute.net/disque/25257/Cristobal-Tapia-de-Veer/Utopia-(Original-Television-Soundtrack).html?PHPSESSID=96af682042fe450880bddd6e1955adc9"" target=""_blank"" rel=""noopener"">Read the article here</a>",https://freerunartists.com/wp-content/uploads/2015/12/1519f01e066d6692-ScreenShot2014-08-05at70811PM.png,1519f01e066d6692-ScreenShot2014-08-05at70811PM.png,/home/freeruna/public_html/wp-content/uploads/2015/12/1519f01e066d6692-ScreenShot2014-08-05at70811PM.png,597,1519f01e066d6692-ScreenShot2014-08-05at70811PM,,,,https://freerunartists.com/wp-content/uploads/2015/12/1519f01e066d6692-ScreenShot2014-08-05at70811PM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/utopia-critique-dalbum-par-noemie-france/,Cristo
1857,"Utopia, une série pas comme les autres par Dominique Montay, France","“…La musique. Oeuvre de Cristobal Tapia de Veer, musicien de Dance canadien, qui nous pond une musique sortie de merdes séchées et d’os, pour un résultat là encore hypnotisant. Trois composantes qui offrent un tout d’une cohérence artistique remarquable. Une claque visuelle. Tout simplement une belle série…” <a href=""https://www.dailymars.net/utopia-une-serie-pas-comme-les-autres-bilan-de-la-saison-1/"" target=""_blank"" rel=""noopener"">Read the article here</a>",https://freerunartists.com/wp-content/uploads/2015/12/25c3c9e5ed97636a-ScreenShot2014-08-04at40727PM.png,25c3c9e5ed97636a-ScreenShot2014-08-04at40727PM.png,/home/freeruna/public_html/wp-content/uploads/2015/12/25c3c9e5ed97636a-ScreenShot2014-08-04at40727PM.png,598,25c3c9e5ed97636a-ScreenShot2014-08-04at40727PM,,,,https://freerunartists.com/wp-content/uploads/2015/12/25c3c9e5ed97636a-ScreenShot2014-08-04at40727PM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/utopia-une-serie-pas-comme-les-autres-par-dominique-montay-france/,Cristo
1858,"Utopia, une expérience musicale, rédigé par Benjamin Campion, France","“…La foi de Cristobal C’est l’une des caractéristiques les plus relevées par les amateurs de la nouvelle série à sensation de Channel 4 : sa musique entêtante, obsédante, déconcertante, si déconnectée de la diégèse de la série qu’elle finit par tout emporter sur son passage…” <a href=""https://feuilletons.blogs.liberation.fr/series/2014/01/utopia-une-experience-musicale.html"" target=""_blank"" rel=""noopener"">Read the article here</a>",https://freerunartists.com/wp-content/uploads/2015/12/572aa36ff33509c0-ScreenShot2014-08-05at72506PM.png,572aa36ff33509c0-ScreenShot2014-08-05at72506PM.png,/home/freeruna/public_html/wp-content/uploads/2015/12/572aa36ff33509c0-ScreenShot2014-08-05at72506PM.png,599,572aa36ff33509c0-ScreenShot2014-08-05at72506PM,,,,https://freerunartists.com/wp-content/uploads/2015/12/572aa36ff33509c0-ScreenShot2014-08-05at72506PM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/utopia-une-experience-musicale-redige-par-benjamin-campion-france/,Cristo
1859,"Cristobal Tapia de Veer, l’électro d’Utopia par Jean-Jacques Birgé, France","“…Le contrepied musical humoristique offre la distance nécessaire qu’exige parfois la brutalité de l’action. La mécanique rythmée insiste sur les rouages de la machine infernale du complot. Les sons organiques tranchant avec l’électro popisante du laptop me rappellent le travail de mon camarade Sacha Gattino.(…) 75 minutes revigorantes !” <a href=""https://blogs.mediapart.fr/blog/jean-jacques-birge/020414/cristobal-tapia-de-veer-lelectro-dutopia"" target=""_blank"" rel=""noopener"">Read the article here</a>",https://freerunartists.com/wp-content/uploads/2015/12/01602793d68d673b-ScreenShot2014-08-09at91512AM.png,01602793d68d673b-ScreenShot2014-08-09at91512AM.png,/home/freeruna/public_html/wp-content/uploads/2015/12/01602793d68d673b-ScreenShot2014-08-09at91512AM.png,600,01602793d68d673b-ScreenShot2014-08-09at91512AM,,,,https://freerunartists.com/wp-content/uploads/2015/12/01602793d68d673b-ScreenShot2014-08-09at91512AM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/cristobal-tapia-de-veer-lelectro-dutopia-par-jean-jacques-birge-france/,Cristo
1860,"Un chileno hizo la musica de la nueva serie de culto inglesa de Felipe Rodriguez, Chile","“Utopía” (ver recuadro) es el último programa de culto inglés, y su participación sacó aplausos. Su música retorcida y oscura fue emparentada con las bandas sonoras de los filmes de David Lynch y la electrónica de Trent Reznor, de Nine Inch Nails. Aunque él hace sus distinciones. “Soy más cercano a Reznor y lo que hizo para la película de David Fincher ‘La chica del dragón tatuado'”, señala. <a href=""https://purochilemusical.blogspot.ca/2013/05/un-chileno-hizo-la-musica-de-la-nueva.html"" target=""_blank"" rel=""noopener"">Read the article here</a>",https://freerunartists.com/wp-content/uploads/2015/12/d678a7f5a2f8d448-ScreenShot2014-08-04at25731PM.png,d678a7f5a2f8d448-ScreenShot2014-08-04at25731PM.png,/home/freeruna/public_html/wp-content/uploads/2015/12/d678a7f5a2f8d448-ScreenShot2014-08-04at25731PM.png,601,d678a7f5a2f8d448-ScreenShot2014-08-04at25731PM,,,,https://freerunartists.com/wp-content/uploads/2015/12/d678a7f5a2f8d448-ScreenShot2014-08-04at25731PM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/un-chileno-hizo-la-musica-de-la-nueva-serie-de-culto-inglesa-de-felipe-rodriguez-chile/,Cristo
1861,"UTOPIA OST, revisión del disco por Mike Shooter y Daniel Ramon, España","“…Más complicado nos parece aún que todas estas influencias se combinen tan bien y produzcan un resultado tan magnífico como el que obtiene Cristobal Tapia de Veer en toda la banda sonora. Eso sólo puede lograrse cuando la personalidad del músico es tan fuerte que consigue crear un estilo propio que, nutriéndose de todos los demás, se muestra como una voz única e innovadora. Seguiremos muy atentos el trabajo de Cristobal porque nos parece que la suya es una de las propuestas musicales más atractivas que han surgido en los últimos tiempos. “Utopía” es, por méritos propios, un disco que ha pasado instantáneamente a nuestra lista de favoritos de entre los surgidos en los últimos meses. Os animamos, por tanto, a haceros con él. Creemos que no os decepcionará.” <a href=""https://vozdelosvientos.blogspot.ca/2014/02/cristobal-tapia-de-veer-utopia-2013.html?m=0"" target=""_blank"" rel=""noopener"">Read the article here</a>",https://freerunartists.com/wp-content/uploads/2015/12/1ea0fcfd388a336a-ScreenShot2014-08-09at92341AM.png,1ea0fcfd388a336a-ScreenShot2014-08-09at92341AM.png,/home/freeruna/public_html/wp-content/uploads/2015/12/1ea0fcfd388a336a-ScreenShot2014-08-09at92341AM.png,602,1ea0fcfd388a336a-ScreenShot2014-08-09at92341AM,,,,https://freerunartists.com/wp-content/uploads/2015/12/1ea0fcfd388a336a-ScreenShot2014-08-09at92341AM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/utopia-ost-revision-del-disco-por-mike-shooter-y-daniel-ramon-espana/,Cristo
1862,"Comicthriller in Comicfarben von Juliane Frisse (Bayerischer Rundfunk), Deutschland","“…Obendrein ist “Utopia” auch noch ästhetisch ganz groß: Visuell ein kinowürdiger, knallig-comichafter Farbrausch und dazu ein Sounddesign, dem man anmerkt, dass sich hier jemand von der Titelmusik bis hin zu jedem einzelnem Geräusch verdammt nochmal Gedanken gemacht hat. Kurz: Jeder, der sich auch nur einen Funken für Serien begeistern kann, muss “Utopia” anschauen.” <a href=""https://www.br.de/puls/themen/popkultur/utopia-tv-und-serie-100.html"" target=""_blank"" rel=""noopener"">Read the article here</a>",https://freerunartists.com/wp-content/uploads/2015/12/9b103f56aa606307-ScreenShot2014-08-06at120502AM.png,9b103f56aa606307-ScreenShot2014-08-06at120502AM.png,/home/freeruna/public_html/wp-content/uploads/2015/12/9b103f56aa606307-ScreenShot2014-08-06at120502AM.png,603,9b103f56aa606307-ScreenShot2014-08-06at120502AM,,,,https://freerunartists.com/wp-content/uploads/2015/12/9b103f56aa606307-ScreenShot2014-08-06at120502AM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/comicthriller-in-comicfarben-von-juliane-frisse-bayerischer-rundfunk-deutschland/,Cristo
1863,"Überkolorierte Schattenwelten von Daniel Schulz, Deutschland","“…Die Sonne bescheint ein überkoloriertes, unwirkliches Land. Mag das Tageslicht in anderen Welten Trost spenden, hier erhellt es eine grelle Kulisse, hinter der Finsteres geschieht. Garniert mit derbem bis abstrusem Humor und einem hypnotischen Soundtrack, präsentiert sich die Gesamtkomposition wie ein Mix aus der Thrillerserie “Homeland” und der halluzinogenen Kindermär “Alice im Wunderland”…” <a href=""https://www.taz.de/1/archiv/digitaz/artikel/?ressort=fl&amp;dig=2014%2F03%2F19%2Fa0105&amp;cHash=6513b85b86704d02efd149d195f90edd"" target=""_blank"" rel=""noopener"">Read the article here</a>",https://freerunartists.com/wp-content/uploads/2015/12/d8908085c9039417-ScreenShot2014-08-06at91804AM.png,d8908085c9039417-ScreenShot2014-08-06at91804AM.png,/home/freeruna/public_html/wp-content/uploads/2015/12/d8908085c9039417-ScreenShot2014-08-06at91804AM.png,604,d8908085c9039417-ScreenShot2014-08-06at91804AM,,,,https://freerunartists.com/wp-content/uploads/2015/12/d8908085c9039417-ScreenShot2014-08-06at91804AM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/uberkolorierte-schattenwelten-von-daniel-schulz-deutschland/,Cristo
